 time            v(Q)            v(A)-v(B)       v(B)           
 0.00000000e+00  2.67657749e-09  8.00000000e-01  0.00000000e+00 
 1.00000000e-09  2.67657754e-09  8.00000004e-01  0.00000000e+00 
 2.00000000e-09  2.67657753e-09  8.00000008e-01  0.00000000e+00 
 4.00000000e-09  2.67657754e-09  8.00000016e-01  0.00000000e+00 
 8.00000000e-09  2.67657748e-09  8.00000032e-01  0.00000000e+00 
 1.60000000e-08  2.67657750e-09  8.00000064e-01  0.00000000e+00 
 3.20000000e-08  2.67657754e-09  8.00000128e-01  0.00000000e+00 
 6.40000000e-08  2.67657753e-09  8.00000256e-01  0.00000000e+00 
 1.00000000e-07  2.67657754e-09  8.00000400e-01  0.00000000e+00 
 1.00010000e-07  1.12646458e-05  8.00000400e-01  0.00000000e+00 
 1.00030000e-07 -4.82702920e-06  8.00000400e-01  0.00000000e+00 
 1.00070000e-07 -8.32224917e-06  8.00000400e-01  0.00000000e+00 
 1.00100000e-07 -1.19628056e-05  8.00000400e-01  0.00000000e+00 
 1.00107629e-07  1.49316005e-05  8.00000400e-01  0.00000000e+00 
 1.00122888e-07  2.04803915e-05  8.00000400e-01  0.00000000e+00 
 1.00153405e-07 -2.29638728e-05  8.00000401e-01  0.00000000e+00 
 1.00214439e-07  9.29967879e-06  8.00000401e-01  0.00000000e+00 
 1.00291793e-07  1.52946673e-03  8.00000401e-01  0.00000000e+00 
 1.00391470e-07  2.12221666e-01  8.00000402e-01  0.00000000e+00 
 1.00498095e-07  1.35215002e+00  8.00000402e-01  0.00000000e+00 
 1.00619662e-07  1.79538512e+00  8.00000402e-01  0.00000000e+00 
 1.00780462e-07  1.79637239e+00  8.00000403e-01  0.00000000e+00 
 1.00992392e-07  1.79901146e+00  8.00000404e-01  0.00000000e+00 
 1.01211565e-07  1.79279028e+00  8.00000405e-01  0.00000000e+00 
 1.01644718e-07  1.80933765e+00  8.00000407e-01  0.00000000e+00 
 1.02155616e-07  1.79014194e+00  8.00000409e-01  0.00000000e+00 
 1.03177412e-07  1.81050643e+00  8.00000413e-01  0.00000000e+00 
 1.04784541e-07  1.78967475e+00  8.00000419e-01  0.00000000e+00 
 1.07998798e-07  1.81072764e+00  8.00000432e-01  0.00000000e+00 
 1.14189123e-07  1.78956975e+00  8.00000457e-01  0.00000000e+00 
 1.26248329e-07  1.81077689e+00  8.00000505e-01  0.00000000e+00 
 1.49904220e-07  1.78954405e+00  8.00000600e-01  0.00000000e+00 
 1.97216004e-07  1.81078909e+00  8.00000789e-01  0.00000000e+00 
 2.91839572e-07  1.78953767e+00  8.00001167e-01  0.00000000e+00 
 4.81086706e-07  1.81079209e+00  8.00001924e-01  0.00000000e+00 
