 time            v(Q)            v(A)-v(B)       v(B)           
 0.00000000e+00  4.64350700e-09  1.20000000e+00  0.00000000e+00 
 1.00000000e-09  4.64350958e-09  1.20000000e+00  0.00000000e+00 
 2.00000000e-09  4.64350955e-09  1.20000001e+00  0.00000000e+00 
 4.00000000e-09  4.64350957e-09  1.20000002e+00  0.00000000e+00 
 8.00000000e-09  4.64350957e-09  1.20000003e+00  0.00000000e+00 
 1.60000000e-08  4.64350956e-09  1.20000006e+00  0.00000000e+00 
 3.20000000e-08  4.64350955e-09  1.20000013e+00  0.00000000e+00 
 6.40000000e-08  4.64350954e-09  1.20000026e+00  0.00000000e+00 
 1.00000000e-07  4.64350952e-09  1.20000040e+00  0.00000000e+00 
 1.00010000e-07  1.51938691e-05  1.20000040e+00  0.00000000e+00 
 1.00030000e-07 -7.13206715e-06  1.20000040e+00  0.00000000e+00 
 1.00070000e-07 -3.62296405e-05  1.20000040e+00  0.00000000e+00 
 1.00100000e-07 -1.07561480e-04  1.20000040e+00  0.00000000e+00 
 1.00108000e-07 -1.59862046e-04  1.20000040e+00  0.00000000e+00 
 1.00124000e-07 -3.35332540e-05  1.20000040e+00  0.00000000e+00 
 1.00156000e-07  6.47885742e-03  1.20000040e+00  0.00000000e+00 
 1.00210338e-07 -4.30671935e-01  1.20000040e+00  0.00000000e+00 
 1.00266247e-07  6.37081636e-01  1.20000040e+00  0.00000000e+00 
 1.00335982e-07  1.68825459e+00  1.20000040e+00  0.00000000e+00 
 1.00451378e-07  1.81871604e+00  1.20000040e+00  0.00000000e+00 
 1.00565807e-07  1.80241158e+00  1.20000040e+00  0.00000000e+00 
 1.00765028e-07  1.79170433e+00  1.20000040e+00  0.00000000e+00 
 1.01062794e-07  1.80966786e+00  1.20000040e+00  0.00000000e+00 
 1.01509911e-07  1.78903764e+00  1.20000041e+00  0.00000000e+00 
 1.02259631e-07  1.81095506e+00  1.20000041e+00  0.00000000e+00 
 1.03536057e-07  1.78849003e+00  1.20000041e+00  0.00000000e+00 
 1.06024247e-07  1.81124438e+00  1.20000042e+00  0.00000000e+00 
 1.10221535e-07  1.78835928e+00  1.20000044e+00  0.00000000e+00 
 1.18079811e-07  1.81132253e+00  1.20000047e+00  0.00000000e+00 
 1.33543555e-07  1.78832284e+00  1.20000053e+00  0.00000000e+00 
 1.64471042e-07  1.81134245e+00  1.20000066e+00  0.00000000e+00 
 2.26326017e-07  1.78831383e+00  1.20000091e+00  0.00000000e+00 
 3.50035967e-07  1.81134738e+00  1.20000140e+00  0.00000000e+00 
 5.97455866e-07  1.78831159e+00  1.20000239e+00  0.00000000e+00 
 1.09229567e-06  1.81134861e+00  1.20000437e+00  0.00000000e+00 
 2.08197526e-06  1.78831103e+00  1.20000833e+00  0.00000000e+00 
 4.06133446e-06  1.81134892e+00  1.20001625e+00  0.00000000e+00 
 6.06133446e-06  1.78831091e+00  1.20002425e+00  0.00000000e+00 
 8.06133446e-06  1.81134844e+00  1.20003225e+00  0.00000000e+00 
 1.00613345e-05  1.78831072e+00  1.20004025e+00  0.00000000e+00 
 1.20613345e-05  1.81134865e+00  1.20004825e+00  0.00000000e+00 
 1.40613345e-05  1.78831054e+00  1.20005625e+00  0.00000000e+00 
 1.60613345e-05  1.81134885e+00  1.20006425e+00  0.00000000e+00 
 1.80613345e-05  1.78831036e+00  1.20007225e+00  0.00000000e+00 
 2.00613345e-05  1.81134905e+00  1.20008025e+00  0.00000000e+00 
 2.20613345e-05  1.78831017e+00  1.20008825e+00  0.00000000e+00 
 2.40613345e-05  1.81134925e+00  1.20009625e+00  0.00000000e+00 
 2.60613345e-05  1.78830999e+00  1.20010425e+00  0.00000000e+00 
 2.80613345e-05  1.81134945e+00  1.20011225e+00  0.00000000e+00 
 3.00613345e-05  1.78830980e+00  1.20012025e+00  0.00000000e+00 
 3.20613345e-05  1.81134965e+00  1.20012825e+00  0.00000000e+00 
 3.40613345e-05  1.78830962e+00  1.20013625e+00  0.00000000e+00 
 3.60613345e-05  1.81134985e+00  1.20014425e+00  0.00000000e+00 
 3.80613345e-05  1.78830944e+00  1.20015225e+00  0.00000000e+00 
 4.00613345e-05  1.81135006e+00  1.20016025e+00  0.00000000e+00 
 4.20613345e-05  1.78830925e+00  1.20016825e+00  0.00000000e+00 
 4.40613345e-05  1.81135026e+00  1.20017625e+00  0.00000000e+00 
 4.60613345e-05  1.78830907e+00  1.20018425e+00  0.00000000e+00 
 4.80613345e-05  1.81135046e+00  1.20019225e+00  0.00000000e+00 
 5.00613345e-05  1.78830889e+00  1.20020025e+00  0.00000000e+00 
 5.20613345e-05  1.81135066e+00  1.20020825e+00  0.00000000e+00 
 5.40613345e-05  1.78830870e+00  1.20021625e+00  0.00000000e+00 
 5.60613345e-05  1.81135086e+00  1.20022425e+00  0.00000000e+00 
 5.80613345e-05  1.78830852e+00  1.20023225e+00  0.00000000e+00 
 6.00613345e-05  1.81135106e+00  1.20024025e+00  0.00000000e+00 
 6.20613345e-05  1.78830834e+00  1.20024825e+00  0.00000000e+00 
 6.40613345e-05  1.81135126e+00  1.20025625e+00  0.00000000e+00 
 6.60613345e-05  1.78830815e+00  1.20026425e+00  0.00000000e+00 
 6.80613345e-05  1.81135147e+00  1.20027225e+00  0.00000000e+00 
 7.00613345e-05  1.78830797e+00  1.20028025e+00  0.00000000e+00 
 7.20613345e-05  1.81135167e+00  1.20028825e+00  0.00000000e+00 
 7.40613345e-05  1.78830779e+00  1.20029625e+00  0.00000000e+00 
 7.60613345e-05  1.81135187e+00  1.20030425e+00  0.00000000e+00 
 7.80613345e-05  1.78830761e+00  1.20031225e+00  0.00000000e+00 
 8.00613345e-05  1.81135207e+00  1.20032025e+00  0.00000000e+00 
 8.20613345e-05  1.78830742e+00  1.20032825e+00  0.00000000e+00 
 8.40613345e-05  1.81135227e+00  1.20033625e+00  0.00000000e+00 
 8.60613345e-05  1.78830724e+00  1.20034425e+00  0.00000000e+00 
 8.80613345e-05  1.81135247e+00  1.20035225e+00  0.00000000e+00 
 9.00613345e-05  1.78830706e+00  1.20036025e+00  0.00000000e+00 
 9.20613345e-05  1.81135267e+00  1.20036825e+00  0.00000000e+00 
 9.40613345e-05  1.78830687e+00  1.20037625e+00  0.00000000e+00 
 9.60613345e-05  1.81135287e+00  1.20038425e+00  0.00000000e+00 
 9.80613345e-05  1.78830669e+00  1.20039225e+00  0.00000000e+00 
 1.00061334e-04  1.81135307e+00  1.20040025e+00  0.00000000e+00 
 1.02061334e-04  1.78830651e+00  1.20040825e+00  0.00000000e+00 
 1.04061334e-04  1.81135327e+00  1.20041625e+00  0.00000000e+00 
 1.06061334e-04  1.78830633e+00  1.20042425e+00  0.00000000e+00 
 1.08061334e-04  1.81135347e+00  1.20043225e+00  0.00000000e+00 
 1.10061334e-04  1.78830614e+00  1.20044025e+00  0.00000000e+00 
 1.12061334e-04  1.81135367e+00  1.20044825e+00  0.00000000e+00 
 1.14061334e-04  1.78830596e+00  1.20045625e+00  0.00000000e+00 
 1.16061334e-04  1.81135388e+00  1.20046425e+00  0.00000000e+00 
 1.18061334e-04  1.78830578e+00  1.20047225e+00  0.00000000e+00 
 1.20061334e-04  1.81135408e+00  1.20048025e+00  0.00000000e+00 
 1.22061334e-04  1.78830560e+00  1.20048825e+00  0.00000000e+00 
 1.24061334e-04  1.81135428e+00  1.20049625e+00  0.00000000e+00 
 1.26061334e-04  1.78830542e+00  1.20050425e+00  0.00000000e+00 
 1.28061334e-04  1.81135448e+00  1.20051225e+00  0.00000000e+00 
 1.30061334e-04  1.78830523e+00  1.20052025e+00  0.00000000e+00 
 1.32061334e-04  1.81135468e+00  1.20052825e+00  0.00000000e+00 
 1.34061334e-04  1.78830505e+00  1.20053625e+00  0.00000000e+00 
 1.36061334e-04  1.81135488e+00  1.20054425e+00  0.00000000e+00 
 1.38061334e-04  1.78830487e+00  1.20055225e+00  0.00000000e+00 
 1.40061334e-04  1.81135508e+00  1.20056025e+00  0.00000000e+00 
 1.42061334e-04  1.78830469e+00  1.20056825e+00  0.00000000e+00 
 1.44061334e-04  1.81135528e+00  1.20057625e+00  0.00000000e+00 
 1.46061334e-04  1.78830450e+00  1.20058425e+00  0.00000000e+00 
 1.48061334e-04  1.81135548e+00  1.20059225e+00  0.00000000e+00 
 1.50061334e-04  1.78830432e+00  1.20060025e+00  0.00000000e+00 
 1.52061334e-04  1.81135568e+00  1.20060825e+00  0.00000000e+00 
 1.54061334e-04  1.78830414e+00  1.20061625e+00  0.00000000e+00 
 1.56061334e-04  1.81135588e+00  1.20062425e+00  0.00000000e+00 
 1.58061334e-04  1.78830396e+00  1.20063225e+00  0.00000000e+00 
 1.60061334e-04  1.81135608e+00  1.20064025e+00  0.00000000e+00 
 1.62061334e-04  1.78830378e+00  1.20064825e+00  0.00000000e+00 
 1.64061334e-04  1.81135628e+00  1.20065625e+00  0.00000000e+00 
 1.66061334e-04  1.78830360e+00  1.20066425e+00  0.00000000e+00 
 1.68061334e-04  1.81135648e+00  1.20067225e+00  0.00000000e+00 
 1.70061334e-04  1.78830341e+00  1.20068025e+00  0.00000000e+00 
 1.72061334e-04  1.81135668e+00  1.20068825e+00  0.00000000e+00 
 1.74061334e-04  1.78830323e+00  1.20069625e+00  0.00000000e+00 
 1.76061334e-04  1.81135688e+00  1.20070425e+00  0.00000000e+00 
 1.78061334e-04  1.78830305e+00  1.20071225e+00  0.00000000e+00 
 1.80061334e-04  1.81135708e+00  1.20072025e+00  0.00000000e+00 
 1.82061334e-04  1.78830287e+00  1.20072825e+00  0.00000000e+00 
 1.84061334e-04  1.81135728e+00  1.20073625e+00  0.00000000e+00 
 1.86061334e-04  1.78830269e+00  1.20074425e+00  0.00000000e+00 
 1.88061334e-04  1.81135748e+00  1.20075225e+00  0.00000000e+00 
 1.90061334e-04  1.78830251e+00  1.20076025e+00  0.00000000e+00 
 1.92061334e-04  1.81135768e+00  1.20076825e+00  0.00000000e+00 
 1.94061334e-04  1.78830232e+00  1.20077625e+00  0.00000000e+00 
 1.96061334e-04  1.81135787e+00  1.20078425e+00  0.00000000e+00 
 1.98061334e-04  1.78830214e+00  1.20079225e+00  0.00000000e+00 
 2.00000000e-04  1.81135816e+00  1.20080000e+00  0.00000000e+00 
 2.00200000e-04  1.79999945e+00 -9.91992000e-02  1.30000000e+00 
 2.00600000e-04  1.80000050e+00 -9.91976000e-02  1.30000000e+00 
 2.00960617e-04  1.79999945e+00 -9.91961575e-02  1.30000000e+00 
 2.01369285e-04  1.80000050e+00 -9.91945229e-02  1.30000000e+00 
 2.02186620e-04  1.79999945e+00 -9.91912535e-02  1.30000000e+00 
 2.03540515e-04  1.80000050e+00 -9.91858379e-02  1.30000000e+00 
 2.05540515e-04  1.79999945e+00 -9.91778379e-02  1.30000000e+00 
 2.07540515e-04  1.80000050e+00 -9.91698379e-02  1.30000000e+00 
 2.09540515e-04  1.79999945e+00 -9.91618379e-02  1.30000000e+00 
 2.11540515e-04  1.80000050e+00 -9.91538379e-02  1.30000000e+00 
 2.13540515e-04  1.79999945e+00 -9.91458379e-02  1.30000000e+00 
 2.15540515e-04  1.80000050e+00 -9.91378379e-02  1.30000000e+00 
 2.17540515e-04  1.79999945e+00 -9.91298379e-02  1.30000000e+00 
 2.19540515e-04  1.80000050e+00 -9.91218379e-02  1.30000000e+00 
 2.21540515e-04  1.79999945e+00 -9.91138379e-02  1.30000000e+00 
 2.23540515e-04  1.80000050e+00 -9.91058379e-02  1.30000000e+00 
 2.25540515e-04  1.79999945e+00 -9.90978379e-02  1.30000000e+00 
 2.27540515e-04  1.80000050e+00 -9.90898379e-02  1.30000000e+00 
 2.29540515e-04  1.79999945e+00 -9.90818379e-02  1.30000000e+00 
 2.31540515e-04  1.80000050e+00 -9.90738379e-02  1.30000000e+00 
 2.33540515e-04  1.79999945e+00 -9.90658379e-02  1.30000000e+00 
 2.35540515e-04  1.80000050e+00 -9.90578379e-02  1.30000000e+00 
 2.37540515e-04  1.79999945e+00 -9.90498379e-02  1.30000000e+00 
 2.39540515e-04  1.80000050e+00 -9.90418379e-02  1.30000000e+00 
 2.41540515e-04  1.79999945e+00 -9.90338379e-02  1.30000000e+00 
 2.43540515e-04  1.80000050e+00 -9.90258379e-02  1.30000000e+00 
 2.45540515e-04  1.79999945e+00 -9.90178379e-02  1.30000000e+00 
 2.47540515e-04  1.80000050e+00 -9.90098379e-02  1.30000000e+00 
 2.49540515e-04  1.79999945e+00 -9.90018379e-02  1.30000000e+00 
 2.51540515e-04  1.80000050e+00 -9.89938379e-02  1.30000000e+00 
 2.53540515e-04  1.79999945e+00 -9.89858379e-02  1.30000000e+00 
 2.55540515e-04  1.80000050e+00 -9.89778379e-02  1.30000000e+00 
 2.57540515e-04  1.79999945e+00 -9.89698379e-02  1.30000000e+00 
 2.59540515e-04  1.80000050e+00 -9.89618379e-02  1.30000000e+00 
 2.61540515e-04  1.79999945e+00 -9.89538379e-02  1.30000000e+00 
 2.63540515e-04  1.80000050e+00 -9.89458379e-02  1.30000000e+00 
 2.65540515e-04  1.79999945e+00 -9.89378379e-02  1.30000000e+00 
 2.67540515e-04  1.80000050e+00 -9.89298379e-02  1.30000000e+00 
 2.69540515e-04  1.79999945e+00 -9.89218379e-02  1.30000000e+00 
 2.71540515e-04  1.80000049e+00 -9.89138379e-02  1.30000000e+00 
 2.73540515e-04  1.79999945e+00 -9.89058379e-02  1.30000000e+00 
 2.75540515e-04  1.80000049e+00 -9.88978379e-02  1.30000000e+00 
 2.77540515e-04  1.79999945e+00 -9.88898379e-02  1.30000000e+00 
 2.79540515e-04  1.80000049e+00 -9.88818379e-02  1.30000000e+00 
 2.81540515e-04  1.79999945e+00 -9.88738379e-02  1.30000000e+00 
 2.83540515e-04  1.80000049e+00 -9.88658379e-02  1.30000000e+00 
 2.85540515e-04  1.79999945e+00 -9.88578379e-02  1.30000000e+00 
 2.87540515e-04  1.80000049e+00 -9.88498379e-02  1.30000000e+00 
 2.89540515e-04  1.79999945e+00 -9.88418379e-02  1.30000000e+00 
 2.91540515e-04  1.80000049e+00 -9.88338379e-02  1.30000000e+00 
 2.93540515e-04  1.79999945e+00 -9.88258379e-02  1.30000000e+00 
 2.95540515e-04  1.80000049e+00 -9.88178379e-02  1.30000000e+00 
 2.97540515e-04  1.79999945e+00 -9.88098379e-02  1.30000000e+00 
 2.99540515e-04  1.80000049e+00 -9.88018379e-02  1.30000000e+00 
 3.01540515e-04  1.79999945e+00 -9.87938379e-02  1.30000000e+00 
 3.03540515e-04  1.80000049e+00 -9.87858379e-02  1.30000000e+00 
 3.05540515e-04  1.79999945e+00 -9.87778379e-02  1.30000000e+00 
 3.07540515e-04  1.80000049e+00 -9.87698379e-02  1.30000000e+00 
 3.09540515e-04  1.79999945e+00 -9.87618379e-02  1.30000000e+00 
 3.11540515e-04  1.80000049e+00 -9.87538379e-02  1.30000000e+00 
 3.13540515e-04  1.79999945e+00 -9.87458379e-02  1.30000000e+00 
 3.15540515e-04  1.80000049e+00 -9.87378379e-02  1.30000000e+00 
 3.17540515e-04  1.79999945e+00 -9.87298379e-02  1.30000000e+00 
 3.19540515e-04  1.80000049e+00 -9.87218379e-02  1.30000000e+00 
 3.21540515e-04  1.79999945e+00 -9.87138379e-02  1.30000000e+00 
 3.23540515e-04  1.80000049e+00 -9.87058379e-02  1.30000000e+00 
 3.25540515e-04  1.79999945e+00 -9.86978379e-02  1.30000000e+00 
 3.27540515e-04  1.80000049e+00 -9.86898379e-02  1.30000000e+00 
 3.29540515e-04  1.79999945e+00 -9.86818379e-02  1.30000000e+00 
 3.31540515e-04  1.80000049e+00 -9.86738379e-02  1.30000000e+00 
 3.33540515e-04  1.79999945e+00 -9.86658379e-02  1.30000000e+00 
 3.35540515e-04  1.80000049e+00 -9.86578379e-02  1.30000000e+00 
 3.37540515e-04  1.79999945e+00 -9.86498379e-02  1.30000000e+00 
 3.39540515e-04  1.80000049e+00 -9.86418379e-02  1.30000000e+00 
 3.41540515e-04  1.79999945e+00 -9.86338379e-02  1.30000000e+00 
 3.43540515e-04  1.80000049e+00 -9.86258379e-02  1.30000000e+00 
 3.45540515e-04  1.79999945e+00 -9.86178379e-02  1.30000000e+00 
 3.47540515e-04  1.80000049e+00 -9.86098379e-02  1.30000000e+00 
 3.49540515e-04  1.79999945e+00 -9.86018379e-02  1.30000000e+00 
 3.51540515e-04  1.80000049e+00 -9.85938379e-02  1.30000000e+00 
 3.53540515e-04  1.79999945e+00 -9.85858379e-02  1.30000000e+00 
 3.55540515e-04  1.80000049e+00 -9.85778379e-02  1.30000000e+00 
 3.57540515e-04  1.79999945e+00 -9.85698379e-02  1.30000000e+00 
 3.59540515e-04  1.80000049e+00 -9.85618379e-02  1.30000000e+00 
 3.61540515e-04  1.79999945e+00 -9.85538379e-02  1.30000000e+00 
 3.63540515e-04  1.80000049e+00 -9.85458379e-02  1.30000000e+00 
 3.65540515e-04  1.79999945e+00 -9.85378379e-02  1.30000000e+00 
 3.67540515e-04  1.80000049e+00 -9.85298379e-02  1.30000000e+00 
 3.69540515e-04  1.79999945e+00 -9.85218379e-02  1.30000000e+00 
 3.71540515e-04  1.80000049e+00 -9.85138379e-02  1.30000000e+00 
 3.73540515e-04  1.79999945e+00 -9.85058379e-02  1.30000000e+00 
 3.75540515e-04  1.80000049e+00 -9.84978379e-02  1.30000000e+00 
 3.77540515e-04  1.79999946e+00 -9.84898379e-02  1.30000000e+00 
 3.79540515e-04  1.80000049e+00 -9.84818379e-02  1.30000000e+00 
 3.81540515e-04  1.79999946e+00 -9.84738379e-02  1.30000000e+00 
 3.83540515e-04  1.80000049e+00 -9.84658379e-02  1.30000000e+00 
 3.85540515e-04  1.79999946e+00 -9.84578379e-02  1.30000000e+00 
 3.87540515e-04  1.80000049e+00 -9.84498379e-02  1.30000000e+00 
 3.89540515e-04  1.79999946e+00 -9.84418379e-02  1.30000000e+00 
 3.91540515e-04  1.80000049e+00 -9.84338379e-02  1.30000000e+00 
 3.93540515e-04  1.79999946e+00 -9.84258379e-02  1.30000000e+00 
 3.95540515e-04  1.80000049e+00 -9.84178379e-02  1.30000000e+00 
 3.97540515e-04  1.79999946e+00 -9.84098379e-02  1.30000000e+00 
 3.99540515e-04  1.80000049e+00 -9.84018379e-02  1.30000000e+00 
 4.01540515e-04  1.79999946e+00 -9.83938379e-02  1.30000000e+00 
 4.03540515e-04  1.80000049e+00 -9.83858379e-02  1.30000000e+00 
 4.05540515e-04  1.79999946e+00 -9.83778379e-02  1.30000000e+00 
 4.07540515e-04  1.80000049e+00 -9.83698379e-02  1.30000000e+00 
 4.09540515e-04  1.79999946e+00 -9.83618379e-02  1.30000000e+00 
