 time            v(Q)            v(A)-v(B)       v(B)           
 0.00000000e+00  1.79999994e+00  1.10000000e+00  0.00000000e+00 
 1.00000000e-09  1.79999994e+00  1.10000000e+00  0.00000000e+00 
 2.00000000e-09  1.79999994e+00  1.10000001e+00  0.00000000e+00 
 4.00000000e-09  1.79999994e+00  1.10000002e+00  0.00000000e+00 
 8.00000000e-09  1.79999994e+00  1.10000003e+00  0.00000000e+00 
 1.60000000e-08  1.79999994e+00  1.10000006e+00  0.00000000e+00 
 3.20000000e-08  1.79999994e+00  1.10000013e+00  0.00000000e+00 
 6.40000000e-08  1.79999994e+00  1.10000026e+00  0.00000000e+00 
 1.00000000e-07  1.79999994e+00  1.10000040e+00  0.00000000e+00 
 1.00010000e-07  1.80002684e+00  1.10000040e+00  0.00000000e+00 
 1.00030000e-07  1.80002705e+00  1.10000040e+00  0.00000000e+00 
 1.00070000e-07  1.79992735e+00  1.10000040e+00  0.00000000e+00 
 1.00100000e-07  1.79992832e+00  1.10000040e+00  0.00000000e+00 
 1.00107607e-07  1.79995627e+00  1.10000040e+00  0.00000000e+00 
 1.00122822e-07  1.79980516e+00  1.10000040e+00  0.00000000e+00 
 1.00153250e-07  1.80217618e+00  1.10000040e+00  0.00000000e+00 
 1.00214108e-07  1.80333619e+00  1.10000040e+00  0.00000000e+00 
 1.00291692e-07  1.79907283e+00  1.10000040e+00  0.00000000e+00 
 1.00381326e-07  1.80036765e+00  1.10000040e+00  0.00000000e+00 
 1.00490272e-07  1.79900090e+00  1.10000040e+00  0.00000000e+00 
 1.00679474e-07  1.80104476e+00  1.10000040e+00  0.00000000e+00 
 1.00853307e-07  1.79894861e+00  1.10000040e+00  0.00000000e+00 
 1.01200975e-07  1.80104695e+00  1.10000040e+00  0.00000000e+00 
 1.01675945e-07  1.79895867e+00  1.10000041e+00  0.00000000e+00 
 1.02404812e-07  1.80103685e+00  1.10000041e+00  0.00000000e+00 
 1.03623056e-07  1.79896623e+00  1.10000041e+00  0.00000000e+00 
 1.05615196e-07  1.80103189e+00  1.10000042e+00  0.00000000e+00 
