 time            v(Q)            v(A)-v(B)       v(B)           
 0.00000000e+00  2.67657754e-09  1.00000000e+00  0.00000000e+00 
 1.00000000e-09  2.67657849e-09  1.00000000e+00  0.00000000e+00 
 2.00000000e-09  2.67657750e-09  1.00000001e+00  0.00000000e+00 
 4.00000000e-09  2.67657753e-09  1.00000002e+00  0.00000000e+00 
 8.00000000e-09  2.67657754e-09  1.00000003e+00  0.00000000e+00 
 1.60000000e-08  2.67657752e-09  1.00000006e+00  0.00000000e+00 
 3.20000000e-08  2.67657756e-09  1.00000013e+00  0.00000000e+00 
 6.40000000e-08  2.67657752e-09  1.00000026e+00  0.00000000e+00 
 1.00000000e-07  2.67657756e-09  1.00000040e+00  0.00000000e+00 
 1.00010000e-07  5.91135976e-05  1.00000040e+00  0.00000000e+00 
 1.00030000e-07  5.91011699e-07  1.00000040e+00  0.00000000e+00 
 1.00070000e-07 -5.49017744e-04  1.00000040e+00  0.00000000e+00 
 1.00100000e-07 -3.42113996e-04  1.00000040e+00  0.00000000e+00 
 1.00107613e-07  5.68393657e-04  1.00000040e+00  0.00000000e+00 
 1.00122838e-07  1.95931200e-03  1.00000040e+00  0.00000000e+00 
 1.00153288e-07  1.91758105e-03  1.00000040e+00  0.00000000e+00 
 1.00214188e-07 -1.68269137e-03  1.00000040e+00  0.00000000e+00 
 1.00291788e-07  1.23523599e-01  1.00000040e+00  0.00000000e+00 
 1.00372963e-07  1.18213096e+00  1.00000040e+00  0.00000000e+00 
 1.00472697e-07  1.68658854e+00  1.00000040e+00  0.00000000e+00 
 1.00612843e-07  1.79690098e+00  1.00000040e+00  0.00000000e+00 
 1.00891335e-07  1.81022733e+00  1.00000040e+00  0.00000000e+00 
 1.01155158e-07  1.78739569e+00  1.00000040e+00  0.00000000e+00 
 1.01682806e-07  1.81378475e+00  1.00000041e+00  0.00000000e+00 
 1.02738101e-07  1.78648583e+00  1.00000041e+00  0.00000000e+00 
 1.04837335e-07  1.81409114e+00  1.00000042e+00  0.00000000e+00 
 1.09035802e-07  1.78634865e+00  1.00000044e+00  0.00000000e+00 
 1.17432736e-07  1.81414941e+00  1.00000047e+00  0.00000000e+00 
 1.27798864e-07  1.78631264e+00  1.00000051e+00  0.00000000e+00 
 1.48531120e-07  1.81417119e+00  1.00000059e+00  0.00000000e+00 
 1.89995633e-07  1.78630114e+00  1.00000076e+00  0.00000000e+00 
 2.72924658e-07  1.81417648e+00  1.00000109e+00  0.00000000e+00 
 4.38782708e-07  1.78629828e+00  1.00000176e+00  0.00000000e+00 
 7.70498809e-07  1.81417779e+00  1.00000308e+00  0.00000000e+00 
 1.43393101e-06  1.78629757e+00  1.00000574e+00  0.00000000e+00 
 2.76079541e-06  1.81417812e+00  1.00001104e+00  0.00000000e+00 
 4.76079541e-06  1.78629731e+00  1.00001904e+00  0.00000000e+00 
 6.76079541e-06  1.81418955e+00  1.00002704e+00  0.00000000e+00 
 8.76079541e-06  1.78629714e+00  1.00003504e+00  0.00000000e+00 
 1.07607954e-05  1.81418970e+00  1.00004304e+00  0.00000000e+00 
 1.27607954e-05  1.78629699e+00  1.00005104e+00  0.00000000e+00 
 1.47607954e-05  1.81418984e+00  1.00005904e+00  0.00000000e+00 
 1.67607954e-05  1.78629683e+00  1.00006704e+00  0.00000000e+00 
 1.87607954e-05  1.81418998e+00  1.00007504e+00  0.00000000e+00 
 2.07607954e-05  1.78629667e+00  1.00008304e+00  0.00000000e+00 
 2.27607954e-05  1.81419012e+00  1.00009104e+00  0.00000000e+00 
 2.47607954e-05  1.78629652e+00  1.00009904e+00  0.00000000e+00 
 2.67607954e-05  1.81419027e+00  1.00010704e+00  0.00000000e+00 
 2.87607954e-05  1.78629636e+00  1.00011504e+00  0.00000000e+00 
 3.07607954e-05  1.81419041e+00  1.00012304e+00  0.00000000e+00 
 3.27607954e-05  1.78629621e+00  1.00013104e+00  0.00000000e+00 
 3.47607954e-05  1.81419055e+00  1.00013904e+00  0.00000000e+00 
 3.67607954e-05  1.78629605e+00  1.00014704e+00  0.00000000e+00 
 3.87607954e-05  1.81419070e+00  1.00015504e+00  0.00000000e+00 
 4.07607954e-05  1.78629590e+00  1.00016304e+00  0.00000000e+00 
 4.27607954e-05  1.81419084e+00  1.00017104e+00  0.00000000e+00 
 4.47607954e-05  1.78629574e+00  1.00017904e+00  0.00000000e+00 
 4.67607954e-05  1.81419098e+00  1.00018704e+00  0.00000000e+00 
 4.87607954e-05  1.78629559e+00  1.00019504e+00  0.00000000e+00 
 5.07607954e-05  1.81419112e+00  1.00020304e+00  0.00000000e+00 
 5.27607954e-05  1.78629543e+00  1.00021104e+00  0.00000000e+00 
 5.47607954e-05  1.81419127e+00  1.00021904e+00  0.00000000e+00 
 5.67607954e-05  1.78629528e+00  1.00022704e+00  0.00000000e+00 
 5.87607954e-05  1.81419141e+00  1.00023504e+00  0.00000000e+00 
 6.07607954e-05  1.78629512e+00  1.00024304e+00  0.00000000e+00 
 6.27607954e-05  1.81419155e+00  1.00025104e+00  0.00000000e+00 
 6.47607954e-05  1.78629497e+00  1.00025904e+00  0.00000000e+00 
 6.67607954e-05  1.81419169e+00  1.00026704e+00  0.00000000e+00 
 6.87607954e-05  1.78629481e+00  1.00027504e+00  0.00000000e+00 
 7.07607954e-05  1.81419184e+00  1.00028304e+00  0.00000000e+00 
 7.27607954e-05  1.78629466e+00  1.00029104e+00  0.00000000e+00 
 7.47607954e-05  1.81419198e+00  1.00029904e+00  0.00000000e+00 
 7.67607954e-05  1.78629450e+00  1.00030704e+00  0.00000000e+00 
 7.87607954e-05  1.81419212e+00  1.00031504e+00  0.00000000e+00 
 8.07607954e-05  1.78629435e+00  1.00032304e+00  0.00000000e+00 
 8.27607954e-05  1.81419226e+00  1.00033104e+00  0.00000000e+00 
 8.47607954e-05  1.78629419e+00  1.00033904e+00  0.00000000e+00 
 8.67607954e-05  1.81419241e+00  1.00034704e+00  0.00000000e+00 
 8.87607954e-05  1.78629404e+00  1.00035504e+00  0.00000000e+00 
 9.07607954e-05  1.81419255e+00  1.00036304e+00  0.00000000e+00 
 9.27607954e-05  1.78629388e+00  1.00037104e+00  0.00000000e+00 
 9.47607954e-05  1.81419269e+00  1.00037904e+00  0.00000000e+00 
 9.67607954e-05  1.78629373e+00  1.00038704e+00  0.00000000e+00 
 9.87607954e-05  1.81419283e+00  1.00039504e+00  0.00000000e+00 
 1.00760795e-04  1.78629357e+00  1.00040304e+00  0.00000000e+00 
 1.02760795e-04  1.81419297e+00  1.00041104e+00  0.00000000e+00 
 1.04760795e-04  1.78629342e+00  1.00041904e+00  0.00000000e+00 
 1.06760795e-04  1.81419312e+00  1.00042704e+00  0.00000000e+00 
 1.08760795e-04  1.78629326e+00  1.00043504e+00  0.00000000e+00 
 1.10760795e-04  1.81419326e+00  1.00044304e+00  0.00000000e+00 
 1.12760795e-04  1.78629311e+00  1.00045104e+00  0.00000000e+00 
 1.14760795e-04  1.81419340e+00  1.00045904e+00  0.00000000e+00 
 1.16760795e-04  1.78629295e+00  1.00046704e+00  0.00000000e+00 
 1.18760795e-04  1.81419354e+00  1.00047504e+00  0.00000000e+00 
 1.20760795e-04  1.78629280e+00  1.00048304e+00  0.00000000e+00 
 1.22760795e-04  1.81419368e+00  1.00049104e+00  0.00000000e+00 
 1.24760795e-04  1.78629265e+00  1.00049904e+00  0.00000000e+00 
 1.26760795e-04  1.81419382e+00  1.00050704e+00  0.00000000e+00 
 1.28760795e-04  1.78629249e+00  1.00051504e+00  0.00000000e+00 
 1.30760795e-04  1.81419397e+00  1.00052304e+00  0.00000000e+00 
 1.32760795e-04  1.78629234e+00  1.00053104e+00  0.00000000e+00 
 1.34760795e-04  1.81419411e+00  1.00053904e+00  0.00000000e+00 
 1.36760795e-04  1.78629218e+00  1.00054704e+00  0.00000000e+00 
 1.38760795e-04  1.81419425e+00  1.00055504e+00  0.00000000e+00 
 1.40760795e-04  1.78629203e+00  1.00056304e+00  0.00000000e+00 
 1.42760795e-04  1.81419439e+00  1.00057104e+00  0.00000000e+00 
 1.44760795e-04  1.78629187e+00  1.00057904e+00  0.00000000e+00 
 1.46760795e-04  1.81419453e+00  1.00058704e+00  0.00000000e+00 
 1.48760795e-04  1.78629172e+00  1.00059504e+00  0.00000000e+00 
 1.50760795e-04  1.81419467e+00  1.00060304e+00  0.00000000e+00 
 1.52760795e-04  1.78629157e+00  1.00061104e+00  0.00000000e+00 
 1.54760795e-04  1.81419481e+00  1.00061904e+00  0.00000000e+00 
 1.56760795e-04  1.78629141e+00  1.00062704e+00  0.00000000e+00 
 1.58760795e-04  1.81419496e+00  1.00063504e+00  0.00000000e+00 
 1.60760795e-04  1.78629126e+00  1.00064304e+00  0.00000000e+00 
 1.62760795e-04  1.81419510e+00  1.00065104e+00  0.00000000e+00 
 1.64760795e-04  1.78629111e+00  1.00065904e+00  0.00000000e+00 
 1.66760795e-04  1.81419524e+00  1.00066704e+00  0.00000000e+00 
 1.68760795e-04  1.78629095e+00  1.00067504e+00  0.00000000e+00 
 1.70760795e-04  1.81419538e+00  1.00068304e+00  0.00000000e+00 
 1.72760795e-04  1.78629080e+00  1.00069104e+00  0.00000000e+00 
 1.74760795e-04  1.81419552e+00  1.00069904e+00  0.00000000e+00 
 1.76760795e-04  1.78629064e+00  1.00070704e+00  0.00000000e+00 
 1.78760795e-04  1.81419566e+00  1.00071504e+00  0.00000000e+00 
 1.80760795e-04  1.78629049e+00  1.00072304e+00  0.00000000e+00 
 1.82760795e-04  1.81419580e+00  1.00073104e+00  0.00000000e+00 
 1.84760795e-04  1.78629034e+00  1.00073904e+00  0.00000000e+00 
 1.86760795e-04  1.81419594e+00  1.00074704e+00  0.00000000e+00 
 1.88760795e-04  1.78629018e+00  1.00075504e+00  0.00000000e+00 
 1.90760795e-04  1.81419608e+00  1.00076304e+00  0.00000000e+00 
 1.92760795e-04  1.78629003e+00  1.00077104e+00  0.00000000e+00 
 1.94760795e-04  1.81419622e+00  1.00077904e+00  0.00000000e+00 
 1.96760795e-04  1.78628988e+00  1.00078704e+00  0.00000000e+00 
 1.98760795e-04  1.81419637e+00  1.00079504e+00  0.00000000e+00 
 2.00000000e-04  1.78627635e+00  1.00080000e+00  0.00000000e+00 
 2.00200000e-04  1.80000012e+00 -9.91992000e-02  1.10000000e+00 
 2.00600000e-04  1.79999976e+00 -9.91976000e-02  1.10000000e+00 
 2.00984911e-04  1.80000012e+00 -9.91960604e-02  1.10000000e+00 
 2.01389384e-04  1.79999975e+00 -9.91944425e-02  1.10000000e+00 
 2.02198330e-04  1.80000013e+00 -9.91912067e-02  1.10000000e+00 
 2.03816221e-04  1.79999975e+00 -9.91847351e-02  1.10000000e+00 
 2.05816221e-04  1.80000013e+00 -9.91767351e-02  1.10000000e+00 
 2.07816221e-04  1.79999975e+00 -9.91687351e-02  1.10000000e+00 
 2.09816221e-04  1.80000013e+00 -9.91607351e-02  1.10000000e+00 
 2.11816221e-04  1.79999975e+00 -9.91527351e-02  1.10000000e+00 
 2.13816221e-04  1.80000013e+00 -9.91447351e-02  1.10000000e+00 
 2.15816221e-04  1.79999975e+00 -9.91367351e-02  1.10000000e+00 
 2.17816221e-04  1.80000013e+00 -9.91287351e-02  1.10000000e+00 
 2.19816221e-04  1.79999975e+00 -9.91207351e-02  1.10000000e+00 
 2.21816221e-04  1.80000013e+00 -9.91127351e-02  1.10000000e+00 
 2.23816221e-04  1.79999975e+00 -9.91047351e-02  1.10000000e+00 
 2.25816221e-04  1.80000013e+00 -9.90967351e-02  1.10000000e+00 
 2.27816221e-04  1.79999975e+00 -9.90887351e-02  1.10000000e+00 
 2.29816221e-04  1.80000013e+00 -9.90807351e-02  1.10000000e+00 
 2.31816221e-04  1.79999975e+00 -9.90727351e-02  1.10000000e+00 
 2.33816221e-04  1.80000013e+00 -9.90647351e-02  1.10000000e+00 
 2.35816221e-04  1.79999975e+00 -9.90567351e-02  1.10000000e+00 
 2.37816221e-04  1.80000013e+00 -9.90487351e-02  1.10000000e+00 
 2.39816221e-04  1.79999975e+00 -9.90407351e-02  1.10000000e+00 
 2.41816221e-04  1.80000013e+00 -9.90327351e-02  1.10000000e+00 
 2.43816221e-04  1.79999975e+00 -9.90247351e-02  1.10000000e+00 
 2.45816221e-04  1.80000013e+00 -9.90167351e-02  1.10000000e+00 
 2.47816221e-04  1.79999975e+00 -9.90087351e-02  1.10000000e+00 
 2.49816221e-04  1.80000013e+00 -9.90007351e-02  1.10000000e+00 
 2.51816221e-04  1.79999975e+00 -9.89927351e-02  1.10000000e+00 
 2.53816221e-04  1.80000013e+00 -9.89847351e-02  1.10000000e+00 
 2.55816221e-04  1.79999974e+00 -9.89767351e-02  1.10000000e+00 
 2.57816221e-04  1.80000013e+00 -9.89687351e-02  1.10000000e+00 
 2.59816221e-04  1.79999974e+00 -9.89607351e-02  1.10000000e+00 
 2.61816221e-04  1.80000013e+00 -9.89527351e-02  1.10000000e+00 
 2.63816221e-04  1.79999974e+00 -9.89447351e-02  1.10000000e+00 
 2.65816221e-04  1.80000014e+00 -9.89367351e-02  1.10000000e+00 
 2.67816221e-04  1.79999974e+00 -9.89287351e-02  1.10000000e+00 
 2.69816221e-04  1.80000014e+00 -9.89207351e-02  1.10000000e+00 
 2.71816221e-04  1.79999974e+00 -9.89127351e-02  1.10000000e+00 
 2.73816221e-04  1.80000014e+00 -9.89047351e-02  1.10000000e+00 
 2.75816221e-04  1.79999974e+00 -9.88967351e-02  1.10000000e+00 
 2.77816221e-04  1.80000014e+00 -9.88887351e-02  1.10000000e+00 
 2.79816221e-04  1.79999974e+00 -9.88807351e-02  1.10000000e+00 
 2.81816221e-04  1.80000014e+00 -9.88727351e-02  1.10000000e+00 
 2.83816221e-04  1.79999974e+00 -9.88647351e-02  1.10000000e+00 
 2.85816221e-04  1.80000014e+00 -9.88567351e-02  1.10000000e+00 
 2.87816221e-04  1.79999974e+00 -9.88487351e-02  1.10000000e+00 
 2.89816221e-04  1.80000014e+00 -9.88407351e-02  1.10000000e+00 
 2.91816221e-04  1.79999974e+00 -9.88327351e-02  1.10000000e+00 
