 time            v(Q)            v(A)-v(B)       v(B)           
 0.00000000e+00  4.64710528e-09  9.00000000e-01  0.00000000e+00 
 1.00000000e-09  4.64717866e-09  9.00000004e-01  0.00000000e+00 
 2.00000000e-09  4.64717910e-09  9.00000008e-01  0.00000000e+00 
 4.00000000e-09  4.64717910e-09  9.00000016e-01  0.00000000e+00 
 8.00000000e-09  4.64717900e-09  9.00000032e-01  0.00000000e+00 
 1.60000000e-08  4.64717890e-09  9.00000064e-01  0.00000000e+00 
 3.20000000e-08  4.64717863e-09  9.00000128e-01  0.00000000e+00 
 6.40000000e-08  4.64717826e-09  9.00000256e-01  0.00000000e+00 
 1.00000000e-07  4.64717771e-09  9.00000400e-01  0.00000000e+00 
 1.00010000e-07  1.60417425e-05  9.00000400e-01  0.00000000e+00 
 1.00030000e-07 -5.53512545e-06  9.00000400e-01  0.00000000e+00 
 1.00070000e-07 -1.85297359e-05  9.00000400e-01  0.00000000e+00 
 1.00100000e-07 -2.66681067e-05  9.00000400e-01  0.00000000e+00 
 1.00108000e-07  6.28829474e-06  9.00000400e-01  0.00000000e+00 
 1.00124000e-07  2.53584956e-05  9.00000400e-01  0.00000000e+00 
 1.00156000e-07 -1.62293990e-05  9.00000401e-01  0.00000000e+00 
 1.00220000e-07 -4.82758005e-06  9.00000401e-01  0.00000000e+00 
 1.00348000e-07  1.71218973e-03  9.00000401e-01  0.00000000e+00 
 1.00495031e-07  1.45890309e+00  9.00000402e-01  0.00000000e+00 
 1.00635565e-07  1.77711221e+00  9.00000403e-01  0.00000000e+00 
 1.00872425e-07  1.64462384e+00  9.00000403e-01  0.00000000e+00 
 1.01141899e-07  1.73806310e+00  9.00000405e-01  0.00000000e+00 
 1.01609125e-07  1.66636390e+00  9.00000406e-01  0.00000000e+00 
 1.02352507e-07  1.72966503e+00  9.00000409e-01  0.00000000e+00 
 1.03489911e-07  1.67133645e+00  9.00000414e-01  0.00000000e+00 
 1.05469178e-07  1.72698331e+00  9.00000422e-01  0.00000000e+00 
 1.08591938e-07  1.67287631e+00  9.00000434e-01  0.00000000e+00 
 1.13854591e-07  1.72606895e+00  9.00000455e-01  0.00000000e+00 
 1.23145716e-07  1.67339641e+00  9.00000493e-01  0.00000000e+00 
 1.40758743e-07  1.72584787e+00  9.00000563e-01  0.00000000e+00 
 1.71039667e-07  1.67355002e+00  9.00000684e-01  0.00000000e+00 
 2.31601515e-07  1.72579748e+00  9.00000926e-01  0.00000000e+00 
 3.52725211e-07  1.67359205e+00  9.00001411e-01  0.00000000e+00 
 5.94972603e-07  1.72577650e+00  9.00002380e-01  0.00000000e+00 
 1.07946739e-06  1.67360237e+00  9.00004318e-01  0.00000000e+00 
 2.04845696e-06  1.72577105e+00  9.00008194e-01  0.00000000e+00 
 3.98643610e-06  1.67360489e+00  9.00015946e-01  0.00000000e+00 
 5.98643610e-06  1.72557795e+00  9.00023946e-01  0.00000000e+00 
 7.98643610e-06  1.67360648e+00  9.00031946e-01  0.00000000e+00 
 9.98643610e-06  1.72557303e+00  9.00039946e-01  0.00000000e+00 
 1.19864361e-05  1.67360817e+00  9.00047946e-01  0.00000000e+00 
 1.39864361e-05  1.72557141e+00  9.00055946e-01  0.00000000e+00 
 1.59864361e-05  1.67360985e+00  9.00063946e-01  0.00000000e+00 
 1.79864361e-05  1.72556979e+00  9.00071946e-01  0.00000000e+00 
 1.99864361e-05  1.67361154e+00  9.00079946e-01  0.00000000e+00 
 2.19864361e-05  1.72556818e+00  9.00087946e-01  0.00000000e+00 
 2.39864361e-05  1.67361322e+00  9.00095946e-01  0.00000000e+00 
 2.59864361e-05  1.72556656e+00  9.00103946e-01  0.00000000e+00 
 2.79864361e-05  1.67361491e+00  9.00111946e-01  0.00000000e+00 
 2.99864361e-05  1.72556495e+00  9.00119946e-01  0.00000000e+00 
 3.19864361e-05  1.67361660e+00  9.00127946e-01  0.00000000e+00 
 3.39864361e-05  1.72551956e+00  9.00135946e-01  0.00000000e+00 
 3.59864361e-05  1.67361828e+00  9.00143946e-01  0.00000000e+00 
 3.79864361e-05  1.72556166e+00  9.00151946e-01  0.00000000e+00 
 3.99864361e-05  1.67361997e+00  9.00159946e-01  0.00000000e+00 
 4.19864361e-05  1.72556010e+00  9.00167946e-01  0.00000000e+00 
 4.39864361e-05  1.67362165e+00  9.00175946e-01  0.00000000e+00 
 4.59864361e-05  1.72555849e+00  9.00183946e-01  0.00000000e+00 
 4.79864361e-05  1.67362334e+00  9.00191946e-01  0.00000000e+00 
 4.99864361e-05  1.72555688e+00  9.00199946e-01  0.00000000e+00 
 5.19864361e-05  1.67362503e+00  9.00207946e-01  0.00000000e+00 
 5.39864361e-05  1.72555526e+00  9.00215946e-01  0.00000000e+00 
 5.59864361e-05  1.67362671e+00  9.00223946e-01  0.00000000e+00 
 5.79864361e-05  1.72555365e+00  9.00231946e-01  0.00000000e+00 
 5.99864361e-05  1.67362840e+00  9.00239946e-01  0.00000000e+00 
 6.19864361e-05  1.72555204e+00  9.00247946e-01  0.00000000e+00 
 6.39864361e-05  1.67363008e+00  9.00255946e-01  0.00000000e+00 
 6.59864361e-05  1.72555042e+00  9.00263946e-01  0.00000000e+00 
 6.79864361e-05  1.67363177e+00  9.00271946e-01  0.00000000e+00 
 6.99864361e-05  1.72554881e+00  9.00279946e-01  0.00000000e+00 
 7.19864361e-05  1.67363345e+00  9.00287946e-01  0.00000000e+00 
 7.39864361e-05  1.72554720e+00  9.00295946e-01  0.00000000e+00 
 7.59864361e-05  1.67363514e+00  9.00303946e-01  0.00000000e+00 
 7.79864361e-05  1.72554559e+00  9.00311946e-01  0.00000000e+00 
 7.99864361e-05  1.67363682e+00  9.00319946e-01  0.00000000e+00 
 8.19864361e-05  1.72554397e+00  9.00327946e-01  0.00000000e+00 
 8.39864361e-05  1.67363851e+00  9.00335946e-01  0.00000000e+00 
 8.59864361e-05  1.72554236e+00  9.00343946e-01  0.00000000e+00 
 8.79864361e-05  1.67364019e+00  9.00351946e-01  0.00000000e+00 
 8.99864361e-05  1.72554075e+00  9.00359946e-01  0.00000000e+00 
 9.19864361e-05  1.67364187e+00  9.00367946e-01  0.00000000e+00 
 9.39864361e-05  1.72553914e+00  9.00375946e-01  0.00000000e+00 
 9.59864361e-05  1.67364356e+00  9.00383946e-01  0.00000000e+00 
 9.79864361e-05  1.72553753e+00  9.00391946e-01  0.00000000e+00 
 9.99864361e-05  1.67364524e+00  9.00399946e-01  0.00000000e+00 
 1.01986436e-04  1.72553591e+00  9.00407946e-01  0.00000000e+00 
 1.03986436e-04  1.67364692e+00  9.00415946e-01  0.00000000e+00 
 1.05986436e-04  1.72553430e+00  9.00423946e-01  0.00000000e+00 
 1.07986436e-04  1.67364861e+00  9.00431946e-01  0.00000000e+00 
 1.09986436e-04  1.72553269e+00  9.00439946e-01  0.00000000e+00 
 1.11986436e-04  1.67365029e+00  9.00447946e-01  0.00000000e+00 
 1.13986436e-04  1.72553108e+00  9.00455946e-01  0.00000000e+00 
 1.15986436e-04  1.67365197e+00  9.00463946e-01  0.00000000e+00 
 1.17986436e-04  1.72552947e+00  9.00471946e-01  0.00000000e+00 
 1.19986436e-04  1.67365366e+00  9.00479946e-01  0.00000000e+00 
 1.21986436e-04  1.72552786e+00  9.00487946e-01  0.00000000e+00 
 1.23986436e-04  1.67365534e+00  9.00495946e-01  0.00000000e+00 
 1.25986436e-04  1.72552625e+00  9.00503946e-01  0.00000000e+00 
 1.27986436e-04  1.67365702e+00  9.00511946e-01  0.00000000e+00 
 1.29986436e-04  1.72552464e+00  9.00519946e-01  0.00000000e+00 
 1.31986436e-04  1.67365870e+00  9.00527946e-01  0.00000000e+00 
 1.33986436e-04  1.72552303e+00  9.00535946e-01  0.00000000e+00 
 1.35986436e-04  1.67366038e+00  9.00543946e-01  0.00000000e+00 
 1.37986436e-04  1.72552142e+00  9.00551946e-01  0.00000000e+00 
 1.39986436e-04  1.67366207e+00  9.00559946e-01  0.00000000e+00 
 1.41986436e-04  1.72551981e+00  9.00567946e-01  0.00000000e+00 
 1.43986436e-04  1.67366375e+00  9.00575946e-01  0.00000000e+00 
 1.45986436e-04  1.72551820e+00  9.00583946e-01  0.00000000e+00 
 1.47986436e-04  1.67366543e+00  9.00591946e-01  0.00000000e+00 
 1.49986436e-04  1.72551659e+00  9.00599946e-01  0.00000000e+00 
 1.51986436e-04  1.67366711e+00  9.00607946e-01  0.00000000e+00 
 1.53986436e-04  1.72551498e+00  9.00615946e-01  0.00000000e+00 
 1.55986436e-04  1.67366879e+00  9.00623946e-01  0.00000000e+00 
 1.57986436e-04  1.72551338e+00  9.00631946e-01  0.00000000e+00 
 1.59986436e-04  1.67367047e+00  9.00639946e-01  0.00000000e+00 
 1.61986436e-04  1.72551177e+00  9.00647946e-01  0.00000000e+00 
 1.63986436e-04  1.67367215e+00  9.00655946e-01  0.00000000e+00 
 1.65986436e-04  1.72551016e+00  9.00663946e-01  0.00000000e+00 
 1.67986436e-04  1.67367383e+00  9.00671946e-01  0.00000000e+00 
 1.69986436e-04  1.72550855e+00  9.00679946e-01  0.00000000e+00 
 1.71986436e-04  1.67367551e+00  9.00687946e-01  0.00000000e+00 
 1.73986436e-04  1.72550694e+00  9.00695946e-01  0.00000000e+00 
 1.75986436e-04  1.67367719e+00  9.00703946e-01  0.00000000e+00 
 1.77986436e-04  1.72550534e+00  9.00711946e-01  0.00000000e+00 
 1.79986436e-04  1.67367887e+00  9.00719946e-01  0.00000000e+00 
 1.81986436e-04  1.72550373e+00  9.00727946e-01  0.00000000e+00 
 1.83986436e-04  1.67368055e+00  9.00735946e-01  0.00000000e+00 
 1.85986436e-04  1.72550212e+00  9.00743946e-01  0.00000000e+00 
 1.87986436e-04  1.67368223e+00  9.00751946e-01  0.00000000e+00 
 1.89986436e-04  1.72550051e+00  9.00759946e-01  0.00000000e+00 
 1.91986436e-04  1.67368391e+00  9.00767946e-01  0.00000000e+00 
 1.93986436e-04  1.72549891e+00  9.00775946e-01  0.00000000e+00 
 1.95986436e-04  1.67368559e+00  9.00783946e-01  0.00000000e+00 
 1.97986436e-04  1.72549730e+00  9.00791946e-01  0.00000000e+00 
 1.99986436e-04  1.67368727e+00  9.00799946e-01  0.00000000e+00 
 2.00000000e-04  1.72533807e+00  9.00800000e-01  0.00000000e+00 
 2.00001632e-04  1.70017932e+00 -9.91999935e-02  1.00000000e+00 
 2.00004897e-04  1.69982620e+00 -9.91999804e-02  1.00000000e+00 
 2.00008270e-04  1.70016847e+00 -9.91999669e-02  1.00000000e+00 
 2.00012002e-04  1.69983601e+00 -9.91999520e-02  1.00000000e+00 
 2.00019465e-04  1.70016168e+00 -9.91999221e-02  1.00000000e+00 
 2.00032139e-04  1.69983953e+00 -9.91998714e-02  1.00000000e+00 
 2.00057487e-04  1.70015975e+00 -9.91997701e-02  1.00000000e+00 
 2.00108182e-04  1.69984049e+00 -9.91995673e-02  1.00000000e+00 
 2.00209574e-04  1.70015927e+00 -9.91991617e-02  1.00000000e+00 
 2.00412356e-04  1.69984073e+00 -9.91983506e-02  1.00000000e+00 
 2.00817921e-04  1.70015915e+00 -9.91967283e-02  1.00000000e+00 
 2.01629050e-04  1.69984079e+00 -9.91934838e-02  1.00000000e+00 
 2.03251310e-04  1.70015912e+00 -9.91869948e-02  1.00000000e+00 
 2.05251310e-04  1.69984081e+00 -9.91789948e-02  1.00000000e+00 
 2.07251310e-04  1.70015910e+00 -9.91709948e-02  1.00000000e+00 
 2.09251310e-04  1.69984082e+00 -9.91629948e-02  1.00000000e+00 
 2.11251310e-04  1.70015909e+00 -9.91549948e-02  1.00000000e+00 
 2.13251310e-04  1.69984084e+00 -9.91469948e-02  1.00000000e+00 
 2.15251310e-04  1.70015907e+00 -9.91389948e-02  1.00000000e+00 
 2.17251310e-04  1.69984085e+00 -9.91309948e-02  1.00000000e+00 
 2.19251310e-04  1.70015906e+00 -9.91229948e-02  1.00000000e+00 
 2.21251310e-04  1.69984087e+00 -9.91149948e-02  1.00000000e+00 
 2.23251310e-04  1.70015904e+00 -9.91069948e-02  1.00000000e+00 
 2.25251310e-04  1.69984089e+00 -9.90989948e-02  1.00000000e+00 
 2.27251310e-04  1.70015902e+00 -9.90909948e-02  1.00000000e+00 
 2.29251310e-04  1.69984090e+00 -9.90829948e-02  1.00000000e+00 
 2.31251310e-04  1.70015901e+00 -9.90749948e-02  1.00000000e+00 
 2.33251310e-04  1.69984092e+00 -9.90669948e-02  1.00000000e+00 
 2.35251310e-04  1.70015899e+00 -9.90589948e-02  1.00000000e+00 
 2.37251310e-04  1.69984094e+00 -9.90509948e-02  1.00000000e+00 
 2.39251310e-04  1.70015898e+00 -9.90429948e-02  1.00000000e+00 
 2.41251310e-04  1.69984095e+00 -9.90349948e-02  1.00000000e+00 
 2.43251310e-04  1.70015896e+00 -9.90269948e-02  1.00000000e+00 
 2.45251310e-04  1.69984097e+00 -9.90189948e-02  1.00000000e+00 
 2.47251310e-04  1.70015894e+00 -9.90109948e-02  1.00000000e+00 
 2.49251310e-04  1.69984098e+00 -9.90029948e-02  1.00000000e+00 
 2.51251310e-04  1.70015893e+00 -9.89949948e-02  1.00000000e+00 
 2.53251310e-04  1.69984100e+00 -9.89869948e-02  1.00000000e+00 
 2.55251310e-04  1.70015891e+00 -9.89789948e-02  1.00000000e+00 
 2.57251310e-04  1.69984102e+00 -9.89709948e-02  1.00000000e+00 
 2.59251310e-04  1.70015889e+00 -9.89629948e-02  1.00000000e+00 
 2.61251310e-04  1.69984103e+00 -9.89549948e-02  1.00000000e+00 
 2.63251310e-04  1.70015888e+00 -9.89469948e-02  1.00000000e+00 
 2.65251310e-04  1.69984105e+00 -9.89389948e-02  1.00000000e+00 
 2.67251310e-04  1.70015886e+00 -9.89309948e-02  1.00000000e+00 
 2.69251310e-04  1.69984106e+00 -9.89229948e-02  1.00000000e+00 
 2.71251310e-04  1.70015885e+00 -9.89149948e-02  1.00000000e+00 
 2.73251310e-04  1.69984108e+00 -9.89069948e-02  1.00000000e+00 
