 time            v(Q)            v(A)-v(B)       v(B)           
 0.00000000e+00  4.64350577e-09  1.60000000e+00  0.00000000e+00 
 1.00000000e-09  4.64356480e-09  1.60000000e+00  0.00000000e+00 
 2.00000000e-09  4.64356508e-09  1.60000001e+00  0.00000000e+00 
 4.00000000e-09  4.64356505e-09  1.60000002e+00  0.00000000e+00 
 8.00000000e-09  4.64356506e-09  1.60000003e+00  0.00000000e+00 
 1.60000000e-08  4.64356497e-09  1.60000006e+00  0.00000000e+00 
 3.20000000e-08  4.64356473e-09  1.60000013e+00  0.00000000e+00 
 6.40000000e-08  4.64356435e-09  1.60000026e+00  0.00000000e+00 
 1.00000000e-07  4.64356391e-09  1.60000040e+00  0.00000000e+00 
 1.00010000e-07  1.52967673e-05  1.60000040e+00  0.00000000e+00 
 1.00030000e-07 -7.09512140e-06  1.60000040e+00  0.00000000e+00 
 1.00070000e-07 -4.36712536e-05  1.60000040e+00  0.00000000e+00 
 1.00100000e-07 -1.70260257e-04  1.60000040e+00  0.00000000e+00 
 1.00108000e-07 -3.20845113e-04  1.60000040e+00  0.00000000e+00 
 1.00124000e-07  1.47242458e-03  1.60000040e+00  0.00000000e+00 
 1.00156000e-07  5.75763967e-03  1.60000040e+00  0.00000000e+00 
 1.00199146e-07 -4.49136132e-01  1.60000040e+00  0.00000000e+00 
 1.00245397e-07  3.86260930e-01  1.60000040e+00  0.00000000e+00 
 1.00305578e-07  1.57047394e+00  1.60000040e+00  0.00000000e+00 
 1.00394036e-07  1.81862464e+00  1.60000040e+00  0.00000000e+00 
 1.00485544e-07  1.80186676e+00  1.60000040e+00  0.00000000e+00 
 1.00668559e-07  1.79527946e+00  1.60000040e+00  0.00000000e+00 
 1.00896153e-07  1.80670536e+00  1.60000040e+00  0.00000000e+00 
 1.01310357e-07  1.79342851e+00  1.60000041e+00  0.00000000e+00 
 1.01951966e-07  1.80741331e+00  1.60000041e+00  0.00000000e+00 
 1.02968865e-07  1.79308616e+00  1.60000041e+00  0.00000000e+00 
 1.05002665e-07  1.80758383e+00  1.60000042e+00  0.00000000e+00 
 1.09070263e-07  1.79301049e+00  1.60000044e+00  0.00000000e+00 
 1.16722055e-07  1.80762105e+00  1.60000047e+00  0.00000000e+00 
 1.32025639e-07  1.79299178e+00  1.60000053e+00  0.00000000e+00 
 1.61745103e-07  1.80763045e+00  1.60000065e+00  0.00000000e+00 
 2.21184032e-07  1.79298706e+00  1.60000088e+00  0.00000000e+00 
 3.40061889e-07  1.80763282e+00  1.60000136e+00  0.00000000e+00 
 5.77817604e-07  1.79298588e+00  1.60000231e+00  0.00000000e+00 
 1.05332903e-06  1.80763341e+00  1.60000421e+00  0.00000000e+00 
