 time            v(Q)            v(A)-v(B)       v(B)           
 0.00000000e+00  1.79999999e+00  3.00000000e-01  0.00000000e+00 
 1.00000000e-09  1.79999999e+00  3.00000004e-01  0.00000000e+00 
 2.00000000e-09  1.79999999e+00  3.00000008e-01  0.00000000e+00 
 4.00000000e-09  1.79999999e+00  3.00000016e-01  0.00000000e+00 
 8.00000000e-09  1.79999999e+00  3.00000032e-01  0.00000000e+00 
 1.60000000e-08  1.79999999e+00  3.00000064e-01  0.00000000e+00 
 3.20000000e-08  1.79999999e+00  3.00000128e-01  0.00000000e+00 
 6.40000000e-08  1.79999999e+00  3.00000256e-01  0.00000000e+00 
 1.00000000e-07  1.79999999e+00  3.00000400e-01  0.00000000e+00 
 1.00010000e-07  1.80001215e+00  3.00000400e-01  0.00000000e+00 
 1.00030000e-07  1.79998718e+00  3.00000400e-01  0.00000000e+00 
 1.00070000e-07  1.79993229e+00  3.00000400e-01  0.00000000e+00 
 1.00100000e-07  1.80006349e+00  3.00000400e-01  0.00000000e+00 
 1.00107642e-07  1.80043507e+00  3.00000400e-01  0.00000000e+00 
 1.00122927e-07  1.80052954e+00  3.00000400e-01  0.00000000e+00 
 1.00153497e-07  1.79977163e+00  3.00000401e-01  0.00000000e+00 
 1.00214636e-07  1.79990034e+00  3.00000401e-01  0.00000000e+00 
 1.00288039e-07  1.79575599e+00  3.00000401e-01  0.00000000e+00 
 1.00434843e-07  1.78478980e+00  3.00000402e-01  0.00000000e+00 
 1.00608820e-07  1.81219127e+00  3.00000402e-01  0.00000000e+00 
 1.00787190e-07  1.78953257e+00  3.00000403e-01  0.00000000e+00 
 1.01060973e-07  1.80916548e+00  3.00000404e-01  0.00000000e+00 
 1.01513781e-07  1.79129331e+00  3.00000406e-01  0.00000000e+00 
 1.02419397e-07  1.80827830e+00  3.00000410e-01  0.00000000e+00 
 1.04142308e-07  1.79173995e+00  3.00000417e-01  0.00000000e+00 
 1.07513304e-07  1.80805784e+00  3.00000430e-01  0.00000000e+00 
 1.14255297e-07  1.79185522e+00  3.00000457e-01  0.00000000e+00 
 1.27739282e-07  1.80800283e+00  3.00000511e-01  0.00000000e+00 
 1.54707253e-07  1.79188216e+00  3.00000619e-01  0.00000000e+00 
 2.08643194e-07  1.80798913e+00  3.00000835e-01  0.00000000e+00 
 3.16515077e-07  1.79188920e+00  3.00001266e-01  0.00000000e+00 
 5.32258843e-07  1.80798571e+00  3.00002129e-01  0.00000000e+00 
 9.63746374e-07  1.79189096e+00  3.00003855e-01  0.00000000e+00 
 1.82672144e-06  1.80798485e+00  3.00007307e-01  0.00000000e+00 
 3.55267156e-06  1.79189140e+00  3.00014211e-01  0.00000000e+00 
 5.55267156e-06  1.80798459e+00  3.00022211e-01  0.00000000e+00 
 7.55267156e-06  1.79189165e+00  3.00030211e-01  0.00000000e+00 
 9.55267156e-06  1.80798434e+00  3.00038211e-01  0.00000000e+00 
 1.15526716e-05  1.79189191e+00  3.00046211e-01  0.00000000e+00 
 1.35526716e-05  1.80798410e+00  3.00054211e-01  0.00000000e+00 
 1.55526716e-05  1.79189216e+00  3.00062211e-01  0.00000000e+00 
 1.75526716e-05  1.80798385e+00  3.00070211e-01  0.00000000e+00 
 1.95526716e-05  1.79189241e+00  3.00078211e-01  0.00000000e+00 
 2.15526716e-05  1.80798360e+00  3.00086211e-01  0.00000000e+00 
 2.35526716e-05  1.79189267e+00  3.00094211e-01  0.00000000e+00 
 2.55526716e-05  1.80798336e+00  3.00102211e-01  0.00000000e+00 
 2.75526716e-05  1.79189292e+00  3.00110211e-01  0.00000000e+00 
 2.95526716e-05  1.80798311e+00  3.00118211e-01  0.00000000e+00 
 3.15526716e-05  1.79189317e+00  3.00126211e-01  0.00000000e+00 
 3.35526716e-05  1.80798287e+00  3.00134211e-01  0.00000000e+00 
 3.55526716e-05  1.79189343e+00  3.00142211e-01  0.00000000e+00 
 3.75526716e-05  1.80798262e+00  3.00150211e-01  0.00000000e+00 
 3.95526716e-05  1.79189368e+00  3.00158211e-01  0.00000000e+00 
 4.15526716e-05  1.80798238e+00  3.00166211e-01  0.00000000e+00 
 4.35526716e-05  1.79189393e+00  3.00174211e-01  0.00000000e+00 
 4.55526716e-05  1.80798213e+00  3.00182211e-01  0.00000000e+00 
 4.75526716e-05  1.79189419e+00  3.00190211e-01  0.00000000e+00 
 4.95526716e-05  1.80798188e+00  3.00198211e-01  0.00000000e+00 
 5.15526716e-05  1.79189444e+00  3.00206211e-01  0.00000000e+00 
 5.35526716e-05  1.80798164e+00  3.00214211e-01  0.00000000e+00 
 5.55526716e-05  1.79189469e+00  3.00222211e-01  0.00000000e+00 
 5.75526716e-05  1.80798139e+00  3.00230211e-01  0.00000000e+00 
 5.95526716e-05  1.79189494e+00  3.00238211e-01  0.00000000e+00 
 6.15526716e-05  1.80798115e+00  3.00246211e-01  0.00000000e+00 
 6.35526716e-05  1.79189520e+00  3.00254211e-01  0.00000000e+00 
 6.55526716e-05  1.80798090e+00  3.00262211e-01  0.00000000e+00 
 6.75526716e-05  1.79189545e+00  3.00270211e-01  0.00000000e+00 
 6.95526716e-05  1.80798065e+00  3.00278211e-01  0.00000000e+00 
 7.15526716e-05  1.79189570e+00  3.00286211e-01  0.00000000e+00 
 7.35526716e-05  1.80798041e+00  3.00294211e-01  0.00000000e+00 
 7.55526716e-05  1.79189596e+00  3.00302211e-01  0.00000000e+00 
 7.75526716e-05  1.80798016e+00  3.00310211e-01  0.00000000e+00 
 7.95526716e-05  1.79189621e+00  3.00318211e-01  0.00000000e+00 
 8.15526716e-05  1.80797992e+00  3.00326211e-01  0.00000000e+00 
 8.35526716e-05  1.79189646e+00  3.00334211e-01  0.00000000e+00 
 8.55526716e-05  1.80797967e+00  3.00342211e-01  0.00000000e+00 
 8.75526716e-05  1.79189671e+00  3.00350211e-01  0.00000000e+00 
 8.95526716e-05  1.80797943e+00  3.00358211e-01  0.00000000e+00 
