 time            v(Q)            v(A)-v(B)       v(B)           
 0.00000000e+00  1.07063102e-08  1.50000000e+00  0.00000000e+00 
 1.00000000e-09  1.07068053e-08  1.50000000e+00  0.00000000e+00 
 2.00000000e-09  1.07068165e-08  1.50000001e+00  0.00000000e+00 
 4.00000000e-09  1.07068167e-08  1.50000002e+00  0.00000000e+00 
 8.00000000e-09  1.07068158e-08  1.50000003e+00  0.00000000e+00 
 1.60000000e-08  1.07068153e-08  1.50000006e+00  0.00000000e+00 
 3.20000000e-08  1.07068131e-08  1.50000013e+00  0.00000000e+00 
 6.40000000e-08  1.07068100e-08  1.50000026e+00  0.00000000e+00 
 1.00000000e-07  1.07068056e-08  1.50000040e+00  0.00000000e+00 
 1.00010000e-07  1.57231315e-05  1.50000040e+00  0.00000000e+00 
 1.00030000e-07 -1.25133494e-05  1.50000040e+00  0.00000000e+00 
 1.00070000e-07 -1.16055946e-04  1.50000040e+00  0.00000000e+00 
 1.00100000e-07 -1.17831591e-05  1.50000040e+00  0.00000000e+00 
 1.00107588e-07  2.53176656e-04  1.50000040e+00  0.00000000e+00 
 1.00122763e-07  6.98750078e-04  1.50000040e+00  0.00000000e+00 
 1.00153113e-07  6.23976874e-04  1.50000040e+00  0.00000000e+00 
 1.00213813e-07 -8.73755103e-03  1.50000040e+00  0.00000000e+00 
 1.00290834e-07  8.89681678e-01  1.50000040e+00  0.00000000e+00 
 1.00385833e-07  1.78803395e+00  1.50000040e+00  0.00000000e+00 
 1.00486596e-07  1.79643982e+00  1.50000040e+00  0.00000000e+00 
 1.00594263e-07  1.81039586e+00  1.50000040e+00  0.00000000e+00 
 1.00766774e-07  1.78791973e+00  1.50000040e+00  0.00000000e+00 
 1.00943585e-07  1.81372081e+00  1.50000040e+00  0.00000000e+00 
 1.01232602e-07  1.78622731e+00  1.50000040e+00  0.00000000e+00 
 1.01614667e-07  1.81424345e+00  1.50000041e+00  0.00000000e+00 
 1.02169086e-07  1.78596128e+00  1.50000041e+00  0.00000000e+00 
 1.03013415e-07  1.81429613e+00  1.50000041e+00  0.00000000e+00 
 1.04410591e-07  1.78592936e+00  1.50000042e+00  0.00000000e+00 
 1.07095850e-07  1.81428836e+00  1.50000043e+00  0.00000000e+00 
 1.11745065e-07  1.78592816e+00  1.50000045e+00  0.00000000e+00 
 1.20286269e-07  1.81428336e+00  1.50000048e+00  0.00000000e+00 
 1.36366165e-07  1.78592858e+00  1.50000055e+00  0.00000000e+00 
 1.68525957e-07  1.81428175e+00  1.50000067e+00  0.00000000e+00 
 2.32845542e-07  1.78592877e+00  1.50000093e+00  0.00000000e+00 
 3.61484711e-07  1.81428133e+00  1.50000145e+00  0.00000000e+00 
 6.18763050e-07  1.78592881e+00  1.50000248e+00  0.00000000e+00 
 1.13331973e-06  1.81428122e+00  1.50000453e+00  0.00000000e+00 
 2.16243308e-06  1.78592882e+00  1.50000865e+00  0.00000000e+00 
 4.16243308e-06  1.81428120e+00  1.50001665e+00  0.00000000e+00 
 6.16243308e-06  1.78589434e+00  1.50002465e+00  0.00000000e+00 
 8.16243308e-06  1.81427984e+00  1.50003265e+00  0.00000000e+00 
 1.01624331e-05  1.78589439e+00  1.50004065e+00  0.00000000e+00 
 1.21624331e-05  1.81427982e+00  1.50004865e+00  0.00000000e+00 
 1.41624331e-05  1.78589440e+00  1.50005665e+00  0.00000000e+00 
 1.61624331e-05  1.81427980e+00  1.50006465e+00  0.00000000e+00 
 1.81624331e-05  1.78589441e+00  1.50007265e+00  0.00000000e+00 
 2.01624331e-05  1.81427978e+00  1.50008065e+00  0.00000000e+00 
 2.21624331e-05  1.78589442e+00  1.50008865e+00  0.00000000e+00 
 2.41624331e-05  1.81427976e+00  1.50009665e+00  0.00000000e+00 
 2.61624331e-05  1.78589443e+00  1.50010465e+00  0.00000000e+00 
 2.81624331e-05  1.81427974e+00  1.50011265e+00  0.00000000e+00 
 3.01624331e-05  1.78589444e+00  1.50012065e+00  0.00000000e+00 
 3.21624331e-05  1.81427973e+00  1.50012865e+00  0.00000000e+00 
 3.41624331e-05  1.78589445e+00  1.50013665e+00  0.00000000e+00 
 3.61624331e-05  1.81427971e+00  1.50014465e+00  0.00000000e+00 
 3.81624331e-05  1.78589445e+00  1.50015265e+00  0.00000000e+00 
 4.01624331e-05  1.81427969e+00  1.50016065e+00  0.00000000e+00 
 4.21624331e-05  1.78589446e+00  1.50016865e+00  0.00000000e+00 
 4.41624331e-05  1.81427967e+00  1.50017665e+00  0.00000000e+00 
 4.61624331e-05  1.78589447e+00  1.50018465e+00  0.00000000e+00 
 4.81624331e-05  1.81427965e+00  1.50019265e+00  0.00000000e+00 
 5.01624331e-05  1.78589448e+00  1.50020065e+00  0.00000000e+00 
 5.21624331e-05  1.81427963e+00  1.50020865e+00  0.00000000e+00 
 5.41624331e-05  1.78589449e+00  1.50021665e+00  0.00000000e+00 
 5.61624331e-05  1.81427961e+00  1.50022465e+00  0.00000000e+00 
 5.81624331e-05  1.78589450e+00  1.50023265e+00  0.00000000e+00 
 6.01624331e-05  1.81427960e+00  1.50024065e+00  0.00000000e+00 
 6.21624331e-05  1.78589451e+00  1.50024865e+00  0.00000000e+00 
